(area_avaliacao) id;(area_avaliacao) nome;(area_avaliacao) codigo;(area_conhecimento) id;(area_conhecimento) nome;(area_conhecimento) codigo;(area_conhecimento) area_avaliacao_id;(programa) id;(programa) nome;(programa) codigo;(programa) uf;(programa) area_conhecimento_id;(programa) instituicao_id;(instituicao) id;(instituicao) nome;(instituicao) codigo;(instituicao) acronimo;(instituicao) endereco;(instituicao) distrito;(instituicao) cidade;(instituicao) estado;(instituicao) tipo;(instituicao) cep;(instituicao) caixa_postal;(instituicao) url;(instituicao) coordenadas;(curso) id;(curso) nome;(curso) situacao;(curso) nivel;(curso) nota_curso;(curso) data_recomendacao;(curso) data_inicio;(curso) programa_id
149;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;27;2;ADMINISTRAÇÃO;60200006;149;87;ADMINISTRAÇÃO PÚBLICA EM REDE NACIONAL;53045009001P3;DF;2;72;72;ASSOCIAÇÃO NACIONAL DOS DIRIGENTES DAS INSTITUIÇÕES FEDERAIS DE ENSINO SUPERIOR;316189;ANDIFES;Rodovia Dourados. KM 12 Unidade II sn;None;Dourados;MS;None;79084970;None;http://portal.ufgd.edu.br/;-22.19446 -54.93025;125;ADMINISTRAÇÃO PÚBLICA EM REDE NACIONAL;EM FUNCIONAMENTO;Mestrado Profissional;3;23/04/2013;01/07/2014;87
149;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;27;2;ADMINISTRAÇÃO;60200006;149;88;ADMINISTRAÇÃO;32020015008P9;MG;2;73;73;CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS;338131;CEFET;Avenida Amazonas 7675;None;Belo Horizonte;MG;None;30510000;None;http://www.ppga.cefetmg.br;-19.9316 -43.98497;126;ADMINISTRAÇÃO;EM FUNCIONAMENTO;Mestrado;3;12/12/2014;03/08/2015;88
149;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;27;2;ADMINISTRAÇÃO;60200006;149;89;Administração;52016013002P3;GO;2;74;74;CENTRO UNIVERSITÁRIO ALVES FARIA;339238;UNIALFA;Avenida Perimetral Norte 4.129;None;Goiânia;GO;None;74445190;None;http://www.unialfa.com.br/mestrado/adm;-16.64133 -49.30773;127;Administração;EM FUNCIONAMENTO;Mestrado Profissional;3;23/04/2012;01/08/2012;89
149;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;27;2;ADMINISTRAÇÃO;60200006;149;90;ADMINISTRAÇÃO DAS MICRO E PEQUENAS EMPRESAS;33149011003P8;SP;2;75;75;CENTRO UNIVERSITÁRIO CAMPO LIMPO PAULISTA;338861;UNIFACCAMP;RUA GUATEMALA, 167 167;None;Campo Limpo Paulista;SP;None;13231230;None;http://www.faccamp.br/new/doutorado/administracao;-15.78791 -47.8782;128;ADMINISTRAÇÃO DAS MICRO E PEQUENAS EMPRESAS;EM FUNCIONAMENTO;Doutorado;4;26/10/2016;17/02/2017;90
149;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;27;2;ADMINISTRAÇÃO;60200006;149;91;ADMINISTRAÇÃO DAS MICRO E PEQUENAS EMPRESAS;33149011001P5;SP;2;75;75;CENTRO UNIVERSITÁRIO CAMPO LIMPO PAULISTA;338861;UNIFACCAMP;RUA GUATEMALA, 167 167;None;Campo Limpo Paulista;SP;None;13231230;None;http://www.faccamp.br/new/doutorado/administracao;-15.78791 -47.8782;129;ADMINISTRAÇÃO DAS MICRO E PEQUENAS EMPRESAS;EM FUNCIONAMENTO;Mestrado Profissional;4;16/09/2008;01/01/2009;91
149;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;27;2;ADMINISTRAÇÃO;60200006;149;92;Governança Corporativa;33142017003P3;SP;2;76;76;CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS;338854;FMU;Avenida da Liberdade 749;None;São Paulo;SP;None;01503001;None;http://www.fmu.br;-23.5594 -46.63732;130;Governança Corporativa- GC;EM FUNCIONAMENTO;Mestrado Profissional;3;10/12/2013;03/03/2014;92
149;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;27;2;ADMINISTRAÇÃO;60200006;149;93;GESTÃO ESTRATÉGICA DE ORGANIZAÇÕES;53023013001P2;DF;2;77;77;CENTRO UNIVERSITÁRIO DO INSTITUTO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA;339285;IESB;SGAN Quadra 609 - Módulo D 609;None;Brasília;DF;None;70002900;None;http://www.iesb.br/;-15.75705 -47.87771;131;GESTÃO ESTRATÉGICA DE ORGANIZAÇÕES;EM FUNCIONAMENTO;Mestrado Profissional;3;23/12/2016;31/08/2017;93
149;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;27;2;ADMINISTRAÇÃO;60200006;149;94;ADMINISTRAÇÃO;33096015003P0;SP;2;78;78;CENTRO UNIVERSITÁRIO FECAP;338809;UNIFECAP;AVENIDA LIBERDADE 532;None;São Paulo;SP;None;01502001;None;https://www.fecap.br/mestrado/cursos/profissional-administracao/;-23.55726 -46.63717;132;ADMINISTRAÇÃO;EM FUNCIONAMENTO;Mestrado Profissional;3;30/03/2011;01/01/2011;94
149;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;27;2;ADMINISTRAÇÃO;60200006;149;95;CIÊNCIAS CONTÁBEIS;33096015001P8;SP;2;78;78;CENTRO UNIVERSITÁRIO FECAP;338809;UNIFECAP;AVENIDA LIBERDADE 532;None;São Paulo;SP;None;01502001;None;https://www.fecap.br/mestrado/cursos/profissional-administracao/;-23.55726 -46.63717;133;CIÊNCIAS CONTÁBEIS;EM FUNCIONAMENTO;Mestrado;4;29/01/2002;01/01/1999;95
149;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;27;2;ADMINISTRAÇÃO;60200006;149;96;ADMINISTRAÇÃO;33027013004P0;SP;2;79;79;CENTRO UNIVERSITÁRIO FEI;338740;FEI;AV. HUMBERTO DE ALENCAR C. BRANCO 3972;None;São Bernardo do Campo;SP;None;09850901;None;http://www.fei.edu.br;-23.72638 -46.58005;134;ADMINISTRAÇÃO;EM FUNCIONAMENTO;Mestrado;5;22/11/2006;01/01/2007;96
149;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;27;2;ADMINISTRAÇÃO;60200006;149;96;ADMINISTRAÇÃO;33027013004P0;SP;2;79;79;CENTRO UNIVERSITÁRIO FEI;338740;FEI;AV. HUMBERTO DE ALENCAR C. BRANCO 3972;None;São Bernardo do Campo;SP;None;09850901;None;http://www.fei.edu.br;-23.72638 -46.58005;135;Administração de Empresas;EM FUNCIONAMENTO;Doutorado;5;10/12/2010;01/01/2011;96
149;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;27;2;ADMINISTRAÇÃO;60200006;149;97;ADMINISTRAÇÃO;32037015003P3;MG;2;80;80;CENTRO UNIVERSITÁRIO UNA;338147;UNA;Rua dos Guajajaras 175;None;Belo Horizonte;MG;None;30180100;None;http://www.una.br;-19.92655 -43.93575;136;Administração;EM FUNCIONAMENTO;Mestrado Profissional;3;27/07/2010;01/01/2011;97
149;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;27;2;ADMINISTRAÇÃO;60200006;149;98;ADMINISTRAÇÃO;32076010001P1;MG;2;81;81;CENTRO UNIVERSITÁRIO UNIHORIZONTES;338186;UNIHORIZONTES;RUA ALVARENGA PEIXOTO 1270;None;Belo Horizonte;MG;None;30180121;None;http://www.unihorizontes.br;-19.92884 -43.95171;137;ADMINISTRAÇÃO;EM FUNCIONAMENTO;Mestrado;3;23/08/2005;01/01/2005;98
149;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;27;2;ADMINISTRAÇÃO;60200006;149;99;GESTÃO E POLÍTICAS PÚBLICAS;33138010001P0;SP;2;82;82;ESCOLA DE ADMINISTRAÇÃO DE EMPRESAS DE SÃO PAULO;338850;EAESP-FGV;Avenida 9 de Julho 2029;None;São Paulo;SP;None;01313902;None;http://www.fgv.br/mpgpp;-23.55923 -46.65363;138;GESTÃO E POLÍTICAS PÚBLICAS;EM FUNCIONAMENTO;Mestrado Profissional;4;22/07/2008;01/01/2009;99
149;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;27;2;ADMINISTRAÇÃO;60200006;149;100;Administração;33139016002P0;SP;2;83;83;ESCOLA SUPERIOR DE PROPAGANDA E MARKETING;338851;ESPM;Rua Doutor Álvaro Alvim 123;None;São Paulo;SP;None;04018010;None;https://www.espm.br/doutorado/sao/doutorado-em-marketing-inovacao-e-estrategia/;-23.58964 -46.63976;139;Administração: Gestão Internacional;EM FUNCIONAMENTO;Mestrado;5;27/08/2009;01/01/2010;100
149;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;27;2;ADMINISTRAÇÃO;60200006;149;100;Administração;33139016002P0;SP;2;83;83;ESCOLA SUPERIOR DE PROPAGANDA E MARKETING;338851;ESPM;Rua Doutor Álvaro Alvim 123;None;São Paulo;SP;None;04018010;None;https://www.espm.br/doutorado/sao/doutorado-em-marketing-inovacao-e-estrategia/;-23.58964 -46.63976;140;ADMINISTRAÇÃO;EM FUNCIONAMENTO;Doutorado;5;12/09/2013;01/01/2014;100
149;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;27;2;ADMINISTRAÇÃO;60200006;149;101;COMPORTAMENTO DO CONSUMIDOR;33139016003P6;SP;2;83;83;ESCOLA SUPERIOR DE PROPAGANDA E MARKETING;338851;ESPM;Rua Doutor Álvaro Alvim 123;None;São Paulo;SP;None;04018010;None;https://www.espm.br/doutorado/sao/doutorado-em-marketing-inovacao-e-estrategia/;-23.58964 -46.63976;141;COMPORTAMENTO DO CONSUMIDOR;EM FUNCIONAMENTO;Mestrado Profissional;3;08/11/2014;16/03/2015;101
149;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;27;2;ADMINISTRAÇÃO;60200006;149;102;GESTÃO EMPRESARIAL;25018019001P3;PE;2;84;84;FACULDADE BOA VIAGEM;338457;FBV;Jean Emile Favre - 422 422;None;Recife;PE;None;51200060;None;https://www.wyden.com.br/unifbv;-8.10644 -34.91516;142;GESTÃO EMPRESARIAL;EM FUNCIONAMENTO;Mestrado Profissional;3;05/11/2004;01/01/2005;102
149;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;27;2;ADMINISTRAÇÃO;60200006;149;103;ADMINISTRAÇÃO;31034012001P9;RJ;2;85;85;FACULDADE DE ECONOMIA E FINANÇAS DO IBMEC;338615;IBMEC;Av. Presidente Wilson 118;None;Rio de Janeiro;RJ;None;20030020;None;http://www.ibmecrj.br;-22.91234 -43.17394;143;ADMINISTRAÇÃO;EM FUNCIONAMENTO;Mestrado Profissional;4;14/12/1999;01/01/1999;103
149;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;27;2;ADMINISTRAÇÃO;60200006;149;104;INOVAÇÃO E DESENVOLVIMENTO;26013002001P9;PE;2;86;86;FACULDADE DOS GUARARAPES;316150;FG;Rua Comendador José Didier, N.º 27 27;None;Jaboatão dos Guararapes;PE;None;54400160;None;www.faculdaddeguararapes.edu.br;-8.16264 -34.91637;144;INOVAÇÃO E DESENVOLVIMENTO;EM FUNCIONAMENTO;Mestrado Profissional;3;23/10/2015;17/12/2015;104
